lat,lon,city,pace_app_count
34.582769, -117.409214, Adelanto, 52
34.153339, -118.761675, Agoura Hills, 23
37.765206, -122.241636, Alameda, 32
37.886869, -122.297747, Albany, 53
34.095286, -118.127014, Alhambra, 27
33.575, -117.725556, Aliso Viejo, 4
41.487114, -120.542456, Alturas
38.419356, -120.824103, Amador City
38.174917, -122.260803, American Canyon, 49
33.835292, -117.914503, Anaheim, 205
40.448208, -122.297783, Anderson, 39
38.067783, -120.538531, Angels Camp
38.004922, -121.805789, Antioch, 360
34.139728, -118.035344, Arcadia, 13
40.866517, -124.082839, Arcata, 3
35.118586, -120.590725, Arroyo Grande, 13
33.865847, -118.083122, Artesia, 10
35.2018, -118.833106, Arvin, 24
35.489417, -120.670725, Atascadero, 59
37.347717, -120.609083, Atwater, 28
38.896564, -121.076889, Auburn
36.004122, -120.129028, Avenal
34.133619, -117.907564, Azusa, 74
35.373292, -119.018711, Bakersfield, 615
34.085286, -117.960897, Baldwin Park, 93
33.925572, -116.876411, Banning, 24
34.895797, -117.017283, Barstow, 23
33.929461, -116.977247, Beaumont, 27
33.977514, -118.187017, Bell, 20
33.965292, -118.151458, Bell Gardens, 22
33.881683, -118.117011, Bellflower, 59
37.520214, -122.2758, Belmont, 3
37.872703, -122.464417, Belvedere, 8
37.871592, -122.272747, Berkeley, 92
34.073619, -118.400356, Beverly Hills, 16
34.243897, -116.911422, Big Bear Lake, 2
39.412389, -121.71275, Biggs, 2
37.363539, -118.395111, Bishop, 2
40.882908, -123.98395, Blue Lake
33.617233, -114.589175, Blythe
34.14695, -117.970897, Bradbury, 2
32.978658, -115.530267, Brawley
33.916681, -117.900061, Brea, 2
34.057361, -118.480511, Brentwood, 101
37.680767, -122.399972, Brisbane
34.613597, -120.19265, Buellton
33.867514, -117.998117, Buena Park, 45
34.180839, -118.308967, Burbank, 69
37.584103, -122.366083, Burlingame, 11
34.138333, -118.660833, Calabasas, 13
32.678947, -115.498883, Calexico
35.1258, -117.985903, California City
34.003903, -117.061975, Calimesa, 3
33.125597, -115.514153, Calipatria, 1
38.578797, -122.579706, Calistoga, 7
34.216394, -119.037603, Camarillo, 68
37.287164, -121.949958, Campbell, 47
33.685022, -117.273092, Canyon Lake, 15
36.975228, -121.953292, Capitola, 2
33.158092, -117.350594, Carlsbad, 28
36.555239, -121.923289, Carmel-by-the-Sea
34.398883, -119.518456, Carpinteria
33.831406, -118.282017, Carson, 230
33.779742, -116.465292, Cathedral City, 33
37.594933, -120.957711, Ceres
33.858347, -118.064786, Cerritos, 26
39.728494, -121.837478, Chico, 219
34.012236, -117.688944, Chino, 67
33.989819, -117.732586, Chino Hills, 38
37.123, -120.260175, Chowchilla, 4
32.640053, -117.084197, Chula Vista, 204
38.707125, -121.281061, Citrus Heights, 80
34.096675, -117.719778, Claremont, 14
37.941033, -121.935792, Clayton, 25
38.958231, -122.626372, Clearlake, 32
38.805461, -123.017222, Cloverdale, 11
36.825228, -119.702919, Clovis, 100
33.6803, -116.173894, Coachella, 24
36.139678, -120.36015, Coalinga, 3
39.100731, -120.953275, Colfax
34.073903, -117.313656, Colton, 50
39.214333, -122.009417, Colusa
34.000569, -118.159792, Commerce, 9
33.89585, -118.220072, Compton, 364
37.977978, -122.031072, Concord, 137
39.927658, -122.179156, Corning
33.875294, -117.566439, Corona, 135
32.685886, -117.183089, Coronado, 26
33.641133, -117.918669, Costa Mesa, 26
38.327778, -122.709167, Cotati, 9
34.090008, -117.890339, Covina, 128
41.755947, -124.201747, Crescent City
33.960569, -118.18535, Cudahy, 9
34.021122, -118.396467, Culver City, 29
37.322997, -122.032183, Cupertino, 12
37.320531, -121.962242, Cypress
37.687925, -122.470208, Daly City, 88
33.466972, -117.698108, Dana Point
38.544906, -121.740517, Davis, 25
32.959489, -117.265314, Del Mar, 2
36.593292, -121.834953, Del Rey Oaks
35.768842, -119.247053, Delano, 1
33.961125, -116.501678, Desert Hot Springs, 25
34.028622, -117.810336, Diamond Bar, 23
36.543283, -119.387067, Dinuba, 25
38.445464, -121.823297, Dixon, 53
41.967369, -121.918061, Dorris
36.986058, -120.626572, Dos Palos, 5
33.940014, -118.132569, Downey, 94
34.13945, -117.977286, Duarte, 37
37.702153, -121.935792, Dublin, 39
41.208208, -122.271953, Dunsmuir
37.468828, -122.141075, East Palo Alto, 44
33.963056, -117.563889, Eastvale
32.794772, -116.962528, El Cajon, 102
32.792, -115.56305, El Centro, 26
37.916133, -122.310764, El Cerrito, 30
34.068622, -118.027567, El Monte, 47
33.919181, -118.416464, El Segundo, 2
38.4088, -121.371617, Elk Grove, 137
37.831317, -122.285247, Emeryville, 1
33.036986, -117.291983, Encinitas, 24
37.797428, -120.996603, Escalon, 3
33.119208, -117.086422, Escondido, 78
41.456806, -122.894756, Etna
40.802072, -124.163672, Eureka, 18
36.296061, -119.142053, Exeter, 5
38.249358, -122.039967, Fairfield, 316
36.297728, -119.206778, Farmersville
40.576242, -124.263944, Ferndale
34.399164, -118.918153, Fillmore, 15
36.858839, -120.456008, Firebaugh, 8
38.677958, -121.176058, Folsom
34.092233, -117.435047, Fontana, 349
39.445722, -123.805292, Fort Bragg, 3
41.663864, -124.252892, Fort Jones
40.598186, -124.157275, Fortuna, 2
37.558547, -122.271078, Foster City, 3
33.709186, -117.953669, Fountain Valley, 19
36.630506, -119.678469, Fowler, 3
37.548269, -121.988572, Fremont, 105
36.746842, -119.772586, Fresno, 745
33.870292, -117.925339, Fullerton
38.254636, -121.299947, Galt, 42
33.773906, -117.941447, Garden Grove, 78
33.88835, -118.308961, Gardena, 123
37.005783, -121.568275, Gilroy, 63
34.142508, -118.255075, Glendale, 75
34.136119, -117.865339, Glendora, 31
34.435828, -119.827639, Goleta
36.506628, -121.444381, Gonzales, 5
34.033903, -117.313653, Grand Terrace
39.219061, -121.061061, Grass Valley
36.3208, -121.243814, Greenfield, 14
39.363778, -121.693583, Gridley, 7
35.121642, -120.621283, Grover Beach, 4
34.971644, -120.571836, Guadalupe
37.257717, -120.998814, Gustine, 1
37.463553, -122.428586, Half Moon Bay, 4
36.32745, -119.645683, Hanford, 88
33.831403, -118.072842, Hawaiian Gardens, 11
33.916403, -118.352575, Hawthorne, 80
37.668819, -122.080797, Hayward, 167
38.610467, -122.869161, Healdsburg, 11
33.747519, -116.971967, Hemet, 61
38.017144, -122.288581, Hercules, 67
33.862236, -118.399519, Hermosa Beach, 9
34.426389, -117.300878, Hesperia, 126
34.160283, -118.652311, Hidden Hills
34.128344, -117.20865, Highland, 64
36.852453, -121.401603, Hollister, 87
32.811161, -115.380264, Holtville, 1
37.602725, -120.866481, Hughson
33.660297, -117.999225, Huntington Beach, 41
33.981681, -118.225072, Huntington Park, 61
36.202731, -120.102917, Huron, 4
32.847553, -115.569439, Imperial, 21
32.583944, -117.113086, Imperial Beach, 26
33.717631, -116.340756, Indian Wells, 1
33.720578, -116.215561, Indio, 28
34.019733, -117.958675, Industry
33.961681, -118.353131, Inglewood, 196
38.352692, -120.932717, Ione, 6
33.683947, -117.794694, Irvine
34.106953, -117.935342, Irwindale
38.161861, -121.611622, Isleton
38.348803, -120.774103, Jackson
33.999522, -117.475397, Jurupa Valley
36.723558, -120.059878, Kerman, 33
36.212744, -121.126028, King City, 12
36.513839, -119.554017, Kingsburg, 24
34.206817, -118.200028, La Cañada Flintridge
33.931958, -117.946172, La Habra, 33
33.960847, -117.950619, La Habra Heights, 4
32.767828, -117.023083, La Mesa, 45
33.917236, -118.012008, La Mirada, 42
33.846403, -118.046731, La Palma
34.020011, -117.949508, La Puente, 318
33.646692, -116.310008, La Quinta, 10
34.100842, -117.767836, La Verne, 37
37.885758, -122.118019, Lafayette, 26
33.542247, -117.783111, Laguna Beach, 2
33.599722, -117.699444, Laguna Hills, 17
33.522525, -117.707553, Laguna Niguel
33.6103, -117.725331, Laguna Woods
33.668078, -117.327261, Lake Elsinore, 48
33.646967, -117.689217, Lake Forest, 26
39.04295, -122.915828, Lakeport
33.853628, -118.133956, Lakewood, 98
34.686786, -118.154164, Lancaster, 510
37.934092, -122.535253, Larkspur, 14
37.822706, -121.276611, Lathrop
33.887236, -118.352575, Lawndale, 26
32.742553, -117.031417, Lemon Grove, 55
36.300783, -119.782911, Lemoore, 44
38.891564, -121.293008, Lincoln
36.203006, -119.088161, Lindsay, 44
36.983561, -121.980517, Live Oak, 32
37.681875, -121.768008, Livermore, 180
37.386883, -120.723533, Livingston
38.134147, -121.272219, Lodi, 59
34.048347, -117.261153, Loma Linda, 8
33.792239, -118.315072, Lomita, 4
34.63915, -120.457942, Lompoc
33.768322, -118.195617, Long Beach, 429
33.803072, -118.072564, Los Alamitos
33.796331, -118.118119, Los Altos, 12
34.052233, -118.243686, Los Angeles, 2179
37.058278, -120.849914, Los Banos, 68
39.676294, -120.241039, Loyalton
33.930292, -118.211461, Lynwood, 97
36.961336, -120.060717, Madera, 216
34.005008, -118.810172, Malibu, 8
33.884736, -118.410908, Manhattan Beach, 1
37.797428, -121.216053, Manteca, 131
35.058858, -119.40095, Maricopa
36.684403, -121.802172, Marina, 12
38.019367, -122.134133, Martinez, 86
39.145725, -121.591356, Marysville, 3
33.986681, -118.18535, Maywood, 18
35.678011, -119.229275, McFarland
36.753561, -120.381558, Mendota, 4
33.678333, -117.166944, Menifee, 30
37.453828, -122.182186, Menlo Park, 12
37.302164, -120.482967, Merced, 17
37.906036, -122.544975, Mill Valley, 39
37.598547, -122.387194, Millbrae, 5
37.428272, -121.906625, Milpitas, 52
33.600022, -117.671994, Mission Viejo, 48
37.639097, -120.996878, Modesto, 237
34.144428, -118.001947, Monrovia, 22
41.728197, -122.5278, Montague
34.077511, -117.689778, Montclair, 35
37.236333, -121.992458, Monte Sereno, 1
34.016506, -118.113753, Montebello, 47
36.600239, -121.894675, Monterey, 10
34.062511, -118.122847, Monterey Park, 31
34.144897, -118.268742, Moorpark, 31
33.942467, -117.229672, Moreno Valley, 223
37.1305, -121.654389, Morgan Hill, 30
35.365808, -120.8499, Morro Bay, 2
41.410806, -122.194575, Mount Shasta
37.386053, -122.08385, Mountain View, 12
33.553914, -117.213922, Murrieta, 27
38.297539, -122.286864, Napa, 71
32.678108, -117.099197, National City, 63
34.848061, -114.614133, Needles
39.261561, -121.016058, Nevada City
37.529658, -122.040239, Newark, 54
37.313828, -121.020761, Newman, 14
33.618911, -117.928947, Newport Beach, 1
33.931125, -117.548661, Norco, 19
33.902236, -118.081733, Norwalk, 214
38.107419, -122.569703, Novato, 66
37.766594, -120.847153, Oakdale
37.804364, -122.271114, Oakland, 520
37.997422, -121.712453, Oakley, 102
